per_cdperiodo;fad_vltotal
2005/01;70251093.05
2005/02;59954128.79
2005/03;53540602.67
2005/04;71557829.35
2005/05;57241496.59
2005/06;59951776.14
2005/07;87100820.36
2005/08;66492019.32
2005/09;64388730.6
2005/10;70013943.37
2005/11;71981942.18
2005/12;71569187.77
2006/01;79115084.59
2006/02;69303649.34
2006/03;64908665.74
2006/04;72097265.04
2006/05;68722492.2
2006/06;71736034.06
2006/07;65049661.47
2006/08;73719510.41
2006/09;80366017.92
2006/10;79724464.59
2006/11;80506413.3
2006/12;81731429.79
2007/01;90710697.09
2007/02;81261830.33
2007/03;79623319.78
2007/04;79120230.89
2007/05;75331950.73
2007/06;80374991.15
2007/07;81555697.81
2007/08;78939283.39
2007/09;87480862.4
2007/10;87743145.95
2007/11;112090697.72
2007/12;114283882.83
2008/01;116624273.73
2008/02;105508237.44
2008/03;99807690.7
2008/04;99885071.26
2008/05;97503121.88
2008/06;115706224.21
2008/07;114026713.3
2008/08;117184740.67
2008/09;122299450.75
2008/10;121136815.28
2008/11;119185040.86
2008/12;111775027.71
2009/01;122039848.78
2009/02;114201574.45
2009/03;107366447.87
2009/04;121927326.14
2009/05;109044889.92
2009/06;109813803.84
2009/07;115984612.64
2009/08;113386911.08
2009/09;123047839.0
2009/10;135523017.46
2009/11;129421982.28
2009/12;129860798.65
2010/01;136250371.21
2010/02;126437226.07
2010/03;122426810.43
2010/04;145209439.4
2010/05;197928987.32
2010/06;145097529.14
2010/07;135405663.3
2010/08;143283528.6
2010/09;159017558.37
2010/10;159333064.4
2010/11;211554258.86
2010/12;169603673.23
2011/01;183638417.47
2011/02;152930839.83
2011/03;150018049.87
2011/04;151056425.98
2011/05;152344652.09
2011/06;157696905.42
2011/07;156859041.57
2011/08;156502124.08
2011/09;164322315.57
2011/10;168128601.04
2011/11;214091758.86
2011/12;186132138.75
2012/01;196360999.56
2012/02;168540425.54
2012/03;171716274.94
2012/04;233379772.55
2012/05;176818824.51
2012/06;191106734.42
2012/07;183540447.58
2012/08;179282187.84
2012/09;187027068.21
2012/10;191405742.33
2012/11;206402063.08
2012/12;215915077.52
2013/01;229839153.74
2013/02;209459633.24
2013/03;183460589.0
2013/04;197518726.36
2013/05;216619763.54
2013/06;202785076.05
2013/07;199382539.27
2013/08;206831779.85
2013/09;213595870.68
2013/10;207900655.94
2013/11;244113560.43
2013/12;231592205.67
2014/01;252578090.89
2014/02;228821031.56
2014/03;211489178.77
2014/04;218486599.1
2014/05;216387825.89
2014/06;226007772.03
2014/07;210606650.47
2014/08;217250939.16
2014/09;221592583.89
2014/10;231098147.73
2014/11;247731678.35
2014/12;233283825.21
2015/01;257786575.36
2015/02;239754487.8
2015/03;216521314.57
2015/04;242506337.72
2015/05;233706723.27
2015/06;241080071.23
2015/07;234184239.61
2015/08;259236242.62
2015/09;227366557.99
2015/10;246033228.87
2015/11;247422785.13
2015/12;272134007.57
2016/01;243131785.66
2016/02;241450796.68
2016/03;237016137.5
2016/04;251252903.97
2016/05;243967908.1
2016/06;242085933.47
2016/07;239259749.1
2016/08;241631049.1
2016/09;249837322.06
2016/10;249491128.86
2016/11;275192344.71
2016/12;264363737.47
2017/01;301437492.77
2017/02;232992264.2
2017/03;262871727.79
2017/04;267253887.29
2017/05;246613589.37
2017/06;275054629.12
2017/07;250413764.16
2017/08;255166251.79
2017/09;267676086.78
2017/10;259887512.13
2017/11;278919925.92
2017/12;303272368.07
2018/01;302038105.77
2018/02;268502649.13
2018/03;263863548.69
2018/04;275311190.31
2018/05;269251382.19
2018/06;247895594.27
2018/07;281231850.68
2018/08;279446098.61
2018/09;425342739.99
2018/10;274487573.85
2018/11;313988942.89
2018/12;304918667.58
2019/01;317851730.46
2019/02;282674680.04
2019/03;266539136.35
2019/04;280212856.21
2019/05;287964329.5
2019/06;289090509.62
2019/07;266774570.18
2019/08;279789806.71
2019/09;290718811.77
2019/10;292277844.58
2019/11;311674514.09
2019/12;382160468.43
2020/01;324419402.96
2020/02;290810203.29
2020/03;278948989.95
2020/04;251484831.48
2020/05;210675570.73
2020/06;246624027.6
2020/07;262842304.59
2020/08;292560809.72
2020/09;303928975.05
2020/10;328751805.67
2020/11;368415404.89
2020/12;366844701.83
2021/01;378445476.11
2021/02;327170722.19
2021/03;308957033.71
2021/04;328504118.68
2021/05;331713402.14
2021/06;340472081.58
2021/07;343362701.47
2021/08;374264335.27
2021/09;369022794.09
2021/10;380918340.49
2021/11;388938406.71
2021/12;403861892.56
2022/01;414338930.34
2022/02;358360949.85
2022/03;364041718.71
2022/04;418221133.21
2022/05;398928070.61
2022/06;428974674.9
2022/07;383590718.85
2022/08;349721304.15
2022/09;343317956.96
2022/10;361476620.9
2022/11;368911869.66
2022/12;402343409.95
2023/01;429657272.72
2023/02;367791768.49
2023/03;361755812.55
2023/04;421334948.62
2023/05;382907190.05
2023/06;433064270.77
2023/07;424905364.62
2023/08;436655730.36
2023/09;439408107.36
2023/10;420650997.93
2023/11;89053092.38
